sample,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50
11737.D02MB3,3690,57011,7,43355,10793,53,30,0,18216,17,15,4,3539,84,6820,0,0,1107,3361,547,776,2125,2,579,1733,3415,0,0,11,10,40,159,0,0,1164,0,108,0,58,652,82,0,101,0,241,108,4,285,0,231
11737.D02MC1,1614,82688,951,41056,8124,68,27,0,18257,4,0,12,5304,102,6404,0,0,1299,468,428,641,967,17,417,1141,316,15,0,8,117,35,124,0,4,35,0,96,177,4,53,94,0,147,0,78,90,8,0,0,363
11737.D02MC2,4273,70757,451,31021,12081,358,61,0,14738,0,0,35,2198,160,5578,0,11,3480,1341,8636,1073,1745,12,4913,1143,4,70,0,10,829,115,2760,0,19,27,32,2409,2964,27,1687,213,0,1077,16,763,464,0,178,33,1453
11737.D02MC3,2486,46460,45,66936,11761,51,16,0,34424,11,0,5,4302,606,13445,3,0,1069,647,1,843,1389,13,78,187,0,0,2,5,245,73,0,2,3,409,4,0,212,70,119,64,0,138,0,119,38,5,0,23,0
11737.D05MA1,2213,50401,3053,45619,10108,57,135,0,19491,17,0,13,7559,304,7379,3,18,6275,8920,7449,802,3625,11,2431,2813,5678,3,0,6,5134,2603,2287,2,0,2453,0,1896,2298,4236,603,26,0,579,3,838,2257,344,1651,117,448
11737.D05MA2,393,45248,1626,31081,8034,0,57,0,14586,8,0,6,10868,76,4524,19,2,3603,13256,2616,599,2976,10,1389,3254,1813,13,4,0,2902,187,794,0,2,738,0,507,163,98,10,49,6,12,0,1093,452,116,895,12,653
11737.D05MA3,1061,32919,758,30745,8596,63,88,0,10504,11,2,30,8021,137,4401,10,10,2483,2928,3479,573,1281,43,701,644,16,47,0,16,3972,266,1020,0,10,1462,0,775,239,1038,73,101,17,5,8,727,520,38,691,28,1095
11737.D05MB1,6666,66629,608,48834,16559,2,31,0,26911,0,8,11,977,100,8473,0,0,9035,9468,543,1419,5387,0,226,4508,1678,0,0,4,153,117,154,0,0,1909,2,130,676,0,494,59,0,107,0,1080,94,51,263,0,462
11737.D05MB2,3661,51092,2482,40278,6971,0,72,0,17666,2,6,18,258,113,7490,0,8,8376,6982,9004,572,1795,3,2065,5343,1621,18,0,11,339,830,2643,0,0,3935,2,2143,1762,5,1549,165,5,326,0,1182,853,107,1658,0,547
11737.D05MB3,2388,60299,22,47680,31731,5,97,0,20910,15,3,24,1234,101,7775,5,5,2453,1510,1650,2438,20596,7,1341,2627,9685,6,3,19,187,185,471,0,2,3168,0,354,7,0,431,94,0,177,0,994,146,115,368,0,708
11737.D05MC1,1291,41759,2222,29405,8216,69,64,0,10018,3,0,97,1926,45,5527,0,9,1827,392,7493,631,297,2,1332,370,12,66,0,20,616,48,2405,0,0,57,36,2303,708,213,1125,205,32,1816,0,264,411,165,0,33,319
11737.D05MC2,4499,59885,339,43313,10118,59,41,5,18279,6,8,17,9234,83,6447,15,12,3204,8490,1632,711,2212,7,1253,2447,0,25,0,8,448,26,420,1,0,887,3,327,850,239,851,69,0,716,4,688,23,42,144,26,227
11737.D05MC3,1989,40996,2898,26390,12593,124,69,0,15060,2,0,115,1866,85,4755,4,48,2912,536,12758,912,677,5,1089,569,11,89,0,33,753,92,4832,0,5,81,38,4535,954,342,1340,272,37,2169,0,308,620,161,0,37,512
11737.D06MA1,2,39,117289,12,6,97931,8298,43,58,48257,0,2249,119,588,9,550,1124,41,338,9,0,569,36,3349,370,294,451,577,1204,171,1390,5,70,10,190,427,2,10,242,0,4,0,49,1641,6,0,3112,52,4764,18
11737.D06MA2,12,79,171735,19,3,4159,7310,30,40,54705,8,5292,154,379,5,1159,312,21,384,13,0,338,294,668,349,48,2503,2648,1621,73,851,2,415,77,15,292,5,0,26,0,19,0,2,472,7,3,470,16,1038,20
11737.D06MA3,0,38,186994,47,10,39698,2966,30,52,11552,0,594,50,358,21,573,488,65,110,13,2,342,1347,370,156,2,3176,304,2898,28,969,2,0,1294,12,378,0,0,135,0,0,328,0,3885,2,0,379,15,571,35
11737.D06MB1,10,75,166985,46,32,45939,25327,59,85,42454,11,2716,6,837,23,40,2140,79,155,3,3,566,6,11654,420,27,4256,0,1451,0,4434,2,43,4,106,4057,0,10,0,41,26,881,406,92,15,2,4177,37,151,47
11737.D06MB2,0,124,110733,60,14,49286,29376,80,76,33731,0,1185,0,384,35,21,3734,100,382,4,2,720,33,11359,1040,62,4555,0,3294,0,3354,7,18,4,685,1062,4,26,0,9,41,997,256,0,23,5,727,171,6,57
11737.D06MB3,3,11,71684,0,37,152477,11690,130,50,78072,81,5415,3,363,6,35,8584,13,107,17,2,2453,148,1999,409,389,1988,2502,8238,0,515,6,62,50,288,372,10,0,0,8,0,0,61,403,24,0,1105,63,30,91
